ID,Time,Ne
Britain,6.66470903448276,3.87770410396552
Britain,10.3060060862069,3.87770410396552
Britain,14.1701642482759,14.6968716615517
Britain,18.2709143,14.6968716615517
Britain,22.6225151275862,18.5552734584483
Britain,27.240809937931,18.5552734584483
Britain,32.1421700448276,21.2072150501724
Britain,37.342966762069,21.2072150501724
Britain,42.8627400448276,21.8811586662069
Britain,48.7199736344828,21.8811586662069
Britain,54.9363199137931,22.3790842536207
Britain,61.5329031586207,22.3790842536207
Britain,68.5334881793104,24.1993631046552
Britain,75.962896,24.1993631046552
Britain,83.8464757517241,27.107885432069
Britain,92.2132733137931,27.107885432069
Britain,101.092334565517,30.6250245524138
Britain,110.514817813793,30.6250245524138
Britain,120.513993793103,34.4005927825862
Britain,131.125773772414,34.4005927825862
Britain,142.387125234483,37.8456981222414
Britain,154.337656196552,37.8456981222414
France,7.78747866206897,498.79058538931
France,12.0145654551724,498.79058538931
France,16.4812875724138,19.4342909131034
France,21.2003630896552,19.4342909131034
France,26.1865182,18.3645668586207
France,31.4544790965517,18.3645668586207
France,37.0203107172414,20.3434994627586
France,42.9014167448276,20.3434994627586
France,49.115200862069,22.8329958755172
France,55.6804054965517,22.8329958755172
France,62.6171118206897,24.7818067210345
France,69.9460703793104,24.7818067210345
France,77.6900398344828,26.0566934203448
France,85.8717788482759,26.0566934203448
France,94.5160542,27.8423782086207
France,103.649640786207,27.8423782086207
France,113.299982875862,30.9690167534483
France,123.495863482759,30.9690167534483
France,134.269412482759,34.8707550848276
France,145.651421006897,34.8707550848276
France,157.678035165517,38.0173409275862
